Time,Q1,T1,SP1
1.800000000000000000e+02,4.968089523809523200e+01,4.232900000000000063e+01,6.000000000000000000e+01
1.810000000000000000e+02,4.972045714285713558e+01,4.239399999999999835e+01,6.000000000000000000e+01
1.820000000000000000e+02,4.961657142857141878e+01,4.258700000000000330e+01,6.000000000000000000e+01
1.830000000000000000e+02,4.972713015873014086e+01,4.258700000000000330e+01,6.000000000000000000e+01
1.840000000000000000e+02,4.983768888888887005e+01,4.258700000000000330e+01,6.000000000000000000e+01
1.850000000000000000e+02,4.987673015873014037e+01,4.265100000000000335e+01,6.000000000000000000e+01
1.860000000000000000e+02,5.002264126984125880e+01,4.261899999999999977e+01,6.000000000000000000e+01
1.870000000000000000e+02,5.016875555555553490e+01,4.258700000000000330e+01,6.000000000000000000e+01
1.880000000000000000e+02,5.020779682539680522e+01,4.265100000000000335e+01,6.000000000000000000e+01
1.890000000000000000e+02,5.024531428571427227e+01,4.271600000000000108e+01,6.000000000000000000e+01
1.900000000000000000e+02,5.010362539682537886e+01,4.294100000000000250e+01,6.000000000000000000e+01
1.910000000000000000e+02,5.021193650793648544e+01,4.294100000000000250e+01,6.000000000000000000e+01
1.920000000000000000e+02,5.035600634920633922e+01,4.290899999999999892e+01,6.000000000000000000e+01
1.930000000000000000e+02,5.042876190476188469e+01,4.294100000000000250e+01,6.000000000000000000e+01
1.940000000000000000e+02,5.053707301587300549e+01,4.294100000000000250e+01,6.000000000000000000e+01
1.950000000000000000e+02,5.042859682539681643e+01,4.313499999999999801e+01,6.000000000000000000e+01
1.960000000000000000e+02,5.042839999999998923e+01,4.323100000000000165e+01,6.000000000000000000e+01
1.970000000000000000e+02,5.046223492063491278e+01,4.329599999999999937e+01,6.000000000000000000e+01
1.980000000000000000e+02,5.060405079365077086e+01,4.326400000000000290e+01,6.000000000000000000e+01
1.990000000000000000e+02,5.067455238095237036e+01,4.329599999999999937e+01,6.000000000000000000e+01
2.000000000000000000e+02,5.078060952380950965e+01,4.329599999999999937e+01,6.000000000000000000e+01
2.010000000000000000e+02,5.085090793650791596e+01,4.332800000000000296e+01,6.000000000000000000e+01
2.020000000000000000e+02,5.088412698412696500e+01,4.339300000000000068e+01,6.000000000000000000e+01
2.030000000000000000e+02,5.073813968253965356e+01,4.361800000000000210e+01,6.000000000000000000e+01
2.040000000000000000e+02,5.084215238095235634e+01,4.361800000000000210e+01,6.000000000000000000e+01
2.050000000000000000e+02,5.083777142857140063e+01,4.371500000000000341e+01,6.000000000000000000e+01
2.060000000000000000e+02,5.068973968253966689e+01,4.393999999999999773e+01,6.000000000000000000e+01
2.070000000000000000e+02,5.082746666666663771e+01,4.390800000000000125e+01,6.000000000000000000e+01
2.080000000000000000e+02,5.085700317460315034e+01,4.397299999999999898e+01,6.000000000000000000e+01
2.090000000000000000e+02,5.085148571428568687e+01,4.406900000000000261e+01,6.000000000000000000e+01
2.100000000000000000e+02,5.084424126984124825e+01,4.416599999999999682e+01,6.000000000000000000e+01
2.110000000000000000e+02,5.090901587301584641e+01,4.419800000000000040e+01,6.000000000000000000e+01
2.120000000000000000e+02,5.097358730158727980e+01,4.422999999999999687e+01,6.000000000000000000e+01
2.130000000000000000e+02,5.078540952380949847e+01,4.448799999999999955e+01,6.000000000000000000e+01
2.140000000000000000e+02,5.088389841269837888e+01,4.448799999999999955e+01,6.000000000000000000e+01
2.150000000000000000e+02,5.098238730158726639e+01,4.448799999999999955e+01,6.000000000000000000e+01
2.160000000000000000e+02,5.104399999999996851e+01,4.452100000000000080e+01,6.000000000000000000e+01
2.170000000000000000e+02,5.114227936507933236e+01,4.452100000000000080e+01,6.000000000000000000e+01
2.180000000000000000e+02,5.120479999999997744e+01,4.455299999999999727e+01,6.000000000000000000e+01
2.190000000000000000e+02,5.130287619047616943e+01,4.455299999999999727e+01,6.000000000000000000e+01
2.200000000000000000e+02,5.104113015873013381e+01,4.487500000000000000e+01,6.000000000000000000e+01
2.210000000000000000e+02,5.110140317460314918e+01,4.490699999999999648e+01,6.000000000000000000e+01
2.220000000000000000e+02,5.123299047619045155e+01,4.487500000000000000e+01,6.000000000000000000e+01
2.230000000000000000e+02,5.132902222222219280e+01,4.487500000000000000e+01,6.000000000000000000e+01
2.240000000000000000e+02,5.120938412698410502e+01,4.506799999999999784e+01,6.000000000000000000e+01
2.250000000000000000e+02,5.123155555555552354e+01,4.513300000000000267e+01,6.000000000000000000e+01
2.260000000000000000e+02,5.139858412698410461e+01,4.506799999999999784e+01,6.000000000000000000e+01
2.270000000000000000e+02,5.138499682539679725e+01,4.516499999999999915e+01,6.000000000000000000e+01
2.280000000000000000e+02,5.140766984126980788e+01,4.522899999999999920e+01,6.000000000000000000e+01
2.290000000000000000e+02,5.153721269841265951e+01,4.519700000000000273e+01,6.000000000000000000e+01
2.300000000000000000e+02,5.159544126984123125e+01,4.522899999999999920e+01,6.000000000000000000e+01
2.310000000000000000e+02,5.147243809523806135e+01,4.542300000000000182e+01,6.000000000000000000e+01
2.320000000000000000e+02,5.142083809523806792e+01,4.555199999999999960e+01,6.000000000000000000e+01
2.330000000000000000e+02,5.154833015873012414e+01,4.552000000000000313e+01,6.000000000000000000e+01
